Chapter	Verse	Unformatted Text (Pure Text Only)	Formatted Text (with Punctuations)	Metawords_Keywords
16	1	The plans of the heart belong to man but the answer of the tongue is from the Lord	The plans of the heart belong to man, but the answer of the tongue is from the Lord.	plans,heart, tongue,answer,Lord
16	2	All the ways of a man are pure in his own eyes but the Lord weighs the spirit	All the ways of a man are pure in his own eyes, but the Lord weighs the spirit.	ways, pure, eyes, Lord, weighs, spirit
16	3	Commit your work to the Lord and your plans will be established	Commit your work to the Lord, and your plans will be established.	commit, work, Lord, plans, established
16	4	The Lord has made everything for its purpose even the wicked for the day of trouble	The Lord has made everything for its purpose, even the wicked for the day of trouble.	Lord, made, everything, purpose, wicked, day of trouble
16	5	Everyone who is arrogant in heart is an abomination to the Lord be assured he will not go unpunished	Everyone who is arrogant in heart is an abomination to the Lord; be assured, he will not go unpunished.	arrogant, heart, abomination, Lord, assured, not go unpunished
16	6	By steadfast love and faithfulness iniquity is atoned for and by the fear of the Lord one turns away from evil	By steadfast love and faithfulness iniquity is atoned for, and by the fear of the Lord one turns away from evil.	steadfast love, faithfulness, iniquity, atoned for, fear of the Lord, turns away from evil
16	7	When a mans ways please the Lord he makes even his enemies to be at peace with him	When a man's ways please the Lord, he makes even his enemies to be at peace with him.	ways, please, Lord, enemies, peace
16	8	Better is a little with righteousness than great revenues with injustice	Better is a little with righteousness, than great revenues with injustice.	better, little, righteousness, great revenues, injustice
16	9	The heart of man plans his way but the Lord establishes his steps	The heart of man plans his way, but the Lord establishes his steps.	heart, plans, way, Lord, establishes, steps
16	10	An oracle is on the lips of a king his mouth does not sin in judgment	An oracle is on the lips of a king; his mouth does not sin in judgment.	oracle, lips, king, mouth, sin, judgment
16	11	A just balance and scales are the Lords all the weights in the bag are his work	A just balance and scales are the Lord's; all the weights in the bag are his work.	just balance, scales, Lord, weights, bag, work
16	12	It is an abomination to kings to do evil for the throne is established by righteousness	It is an abomination to kings, to do evil, for the throne is established by righteousness.	abomination, kings, evil, throne, established, righteousness
16	13	Righteous lips are the delight of a king and he loves him who speaks what is right	Righteous lips are the delight of a king, and he loves him who speaks what is right.	righteous lips, delight, king, loves, speaks, what is right
16	14	A kings wrath is a messenger of death and a wise man will appease it	A king's wrath is a messenger of death, and a wise man will appease it.	king's wrath, messenger, death, wise man, appease
16	15	In the light of a kings face there is life and his favor is like the clouds that bring the spring rain	In the light of a king's face there is life, and his favor is like the clouds that bring the spring rain.	light, king's face, life, favor, clouds, spring rain
16	16	How much better to get wisdom than gold To get understanding is to be chosen rather than silver	How much better to get wisdom than gold! To get understanding is to be chosen rather than silver.	better, wisdom, gold, understanding, chosen, silver
16	17	The highway of the upright is to depart from evil whoever guards his way preserves his life	The highway of the upright is to depart from evil; whoever guards his way preserves his life.	highway, upright, depart from evil, guards, way, preserves, life
16	18	Pride goes before destruction and a haughty spirit before a fall	Pride goes before destruction and a haughty spirit before a fall.	pride, destruction, haughty spirit, fall
16	19	It is better to be of a lowly spirit with the poor than to divide the spoil with the proud	It is better to be of a lowly spirit with the poor than to divide the spoil with the proud.	better, lowly spirit, poor, divide, spoil, proud
16	20	Whoever gives thought to the word will discover good and blessed is he who trusts in the Lord	Whoever gives thought to the word will discover good, and blessed is he who trusts in the Lord.	gives thought, word, discover, good, blessed, trusts, Lord
16	21	The wise of heart is called discerning and sweetness of speech increases persuasiveness	The wise of heart is called discerning, and sweetness of speech increases persuasiveness.	wise of heart, discerning, sweetness of speech, increases persuasiveness
16	22	Good sense is a fountain of life to him who has it but the instruction of fools is folly	Good sense is a fountain of life to him who has it, but the instruction of fools is folly.	good sense, fountain of life, instruction, fools, folly
16	23	The heart of the wise makes his speech judicious and adds persuasiveness to his lips	The heart of the wise makes his speech judicious and adds persuasiveness to his lips.	heart of the wise, speech, judicious, adds persuasiveness, lips
16	24	Gracious words are like a honeycomb sweetness to the soul and health to the body	Gracious words are like a honeycomb, sweetness to the soul and health to the body.	gracious words, honeycomb, sweetness, soul, health, body
16	25	There is a way that seems right to a man but its end is the way to death	There is a way that seems right to a man, but its end is the way to death.	way, seems right, man, end, way to death
16	26	A workers appetite works for him his mouth urges him on	 A worker's appetite works for him; his mouth urges him on.	worker's appetite, work, mouth, urges
16	27	A worthless man plots evil and his speech is like a scorching fire	A worthless man plots evil, and his speech is like a scorching fire.	worthless man, plots, evil, speech, scorching fire
16	28	A dishonest man spreads strife and a whisperer separates close friends	A dishonest man spreads strife, and a whisperer separates close friends.	dishonest man, spreads, strife, whisperer, separates, close friends
16	29	A man of violence entices his neighbor and leads him in a way that is not good	A man of violence entices his neighbor and leads him in a way that is not good.	man of violence, entices, neighbor, leads, way, not good
16	30	Whoever winks his eyes plans dishonest things he who purses his lips brings evil to pass	Whoever winks his eyes plans dishonest things; he who purses his lips brings evil to pass.	winks, eyes, plans, dishonest things, purses, lips, brings evil to pass
16	31	Gray hair is a crown of glory it is gained in a righteous life	Gray hair is a crown of glory; it is gained in a righteous life.	gray hair, crown of glory, gained, righteous life
16	32	Whoever is slow to anger is better than the mighty and he who rules his spirit than he who takes a city	Whoever is slow to anger is better than the mighty, and he who rules his spirit than he who takes a city.	slow to anger, better than the mighty, rules, spirit, takes a city
16	33	The lot is cast into the lap but its every decision is from the Lord	The lot is cast into the lap, but its every decision is from the Lord.	lot, cast, lap, decision, Lord
17	1	Better is a dry morsel with quiet than a house full of feasting with strife	Better is a dry morsel with quiet than a house full of feasting with strife.	morsel, strife
17	2	A servant who deals wisely will rule over a son who acts shamefully and will share the inheritance as one of the brothers	A servant who deals wisely will rule over a son who acts shamefully and will share the inheritance as one of the brothers.	servant, inheritance
17	3	The crucible is for silver and the furnace is for gold and the Lord tests hearts	The crucible is for silver, and the furnace is for gold, and the Lord tests hearts.	crucible, furnace
17	4	An evildoer listens to wicked lips and a liar gives ear to a mischievous tongue	An evildoer listens to wicked lips, and a liar gives ear to a mischievous tongue.	evildoer, mischievous
17	5	Whoever mocks the poor insults his Maker he who is glad at calamity will not go unpunished	Whoever mocks the poor insults his Maker; he who is glad at calamity will not go unpunished.	Maker, calamity
17	6	Grandchildren are the crown of the aged and the glory of children is their fathers	Grandchildren are the crown of the aged, and the glory of children is their fathers.	crown, glory
17	7	Fine speech is not becoming to a fool still less is false speech to a prince	Fine speech is not becoming to a fool; still less is false speech to a prince.	fool, prince
17	8	A bribe is like a magic stone in the eyes of the one who gives it wherever he turns he prospers	A bribe is like a magic stone in the eyes of the one who gives it; wherever he turns he prospers.	bribe, prospers
