Chapter	Verse	Unformatted Text (Pure Text Only)	Formatted Text (with Punctuations)	Metawords_Keywords
26	1	Like snow in summer or rain in harvest so honor is not fitting for a fool	Like snow in summer or rain in harvest, so honor is not fitting for a fool.	fool, honor, unfitting
26	2	Like a sparrow in its flitting like a swallow in its flying a curse that is causeless does not alight	Like a sparrow in its flitting, like a swallow in its flying, a curse that is causeless does not alight.	sparrow, swallow, causeless curse
26	3	A whip for the horse a bridle for the donkey and a rod for the back of fools	A whip for the horse, a bridle for the donkey, and a rod for the back of fools.	whip, bridle, rod, fools
26	4	Answer not a fool according to his folly lest you be like him yourself	Answer not a fool according to his folly, lest you be like him yourself.	not answering, folly, becoming like a fool
26	5	Answer a fool according to his folly lest he be wise in his own eyes	Answer a fool according to his folly, lest he be wise in his own eyes.	answering, folly, preventing self-deception
26	6	Whoever sends a message by the hand of a fool cuts off his own feet and drinks violence	Whoever sends a message by the hand of a fool cuts off his own feet and drinks violence.	message, fool, self-harm, violence
26	7	Like a lame mans legs which hang useless is a proverb in the mouth of fools	Like a lame man’s legs, which hang useless, is a proverb in the mouth of fools.	proverb, fools
26	8	Like one who binds the stone in the sling is one who gives honor to a fool	Like one who binds the stone in the sling is one who gives honor to a fool.	binding stone, giving honor, fool
26	9	Like a thorn that goes up into the hand of a drunkard is a proverb in the mouth of fools	Like a thorn that goes up into the hand of a drunkard is a proverb in the mouth of fools.	thorn, hand of drunkard, proverb, fools
26	10	Like an archer who wounds everyone is one who hires a passing fool or drunkard	Like an archer who wounds everyone is one who hires a passing fool or drunkard.	archer, hiring fool, drunkard
26	11	Like a dog that returns to his vomit is a fool who repeats his folly	Like a dog that returns to his vomit is a fool who repeats his folly.	dog, returning to vomit, repeating folly
26	12	Do you see a man who is wise in his own eyes There is more hope for a fool than for him	Do you see a man who is wise in his own eyes? There is more hope for a fool than for him.	man, wise in own eyes, hope for fool
26	13	The sluggard says There is a lion in the road There is a lion in the streets	The sluggard says, “There is a lion in the road! There is a lion in the streets!”	sluggard, lion in the road, lion in the streets
26	14	As a door turns on its hinges so does a sluggard on his bed	As a door turns on its hinges, so does a sluggard on his bed.	door, sluggard, turning on hinges
26	15	The sluggard buries his hand in the dish it wears him out to bring it back to his mouth	The sluggard buries his hand in the dish; it wears him out to bring it back to his mouth.	sluggard, burying hand, weariness
26	16	The sluggard is wiser in his own eyes than seven men who can answer sensibly	The sluggard is wiser in his own eyes than seven men who can answer sensibly.	sluggard, wiser in own eyes, lack of sensibility
26	17	Whoever meddles in a quarrel not his own is like one who takes a passing dog by the ears	Whoever meddles in a quarrel not his own is like one who takes a passing dog by the ears.	meddling, quarrel, taking passing dog by ears
26	18	Like a madman who throws firebrands arrows and death	Like a madman who throws firebrands, arrows, and death	madman, throwing firebrands, arrows, death
26	19	is the man who deceives his neighbor and says I am only joking	is the man who deceives his neighbor and says, “I am only joking!”	deceiver, joking
26	20	For lack of wood the fire goes out and where there is no whisperer quarreling ceases	For lack of wood the fire goes out, and where there is no whisperer, quarreling ceases.	fire going out, lack of whisperer, ceasing quarreling
26	21	As charcoal to hot embers and wood to fire so is a quarrelsome man for kindling strife	As charcoal to hot embers and wood to fire, so is a quarrelsome man for kindling strife.	charcoal, embers, wood, fire, quarrelsome man, kindling strife
26	22	The words of a whisperer are like delicious morsels they go down into the inner parts of the body	The words of a whisperer are like delicious morsels; they go down into the inner parts of the body.	whisperer, delicious morsels, inner parts of the body
