Chapter	Verse	Unformatted Text (Pure Text Only)	Formatted Text (with Punctuations)	Metawords_Keywords
11	1	A false balance is an abomination to the Lord but a just weight is his delight	A false balance is an abomination to the Lord, but a just weight is his delight.	false, balance, abomination, weight, delight
11	2	When pride comes then comes disgrace but with the humble is wisdom	When pride comes, then comes disgrace, but with the humble is wisdom.	pride, disgrace, humble, wisdom
11	3	The integrity of the upright guides them but the crookedness of the treacherous destroys them	The integrity of the upright guides them, but the crookedness of the treacherous destroys them.	integrity, upright, crookedness, treacherous, destroys
11	4	Riches do not profit in the day of wrath but righteousness delivers from death	Riches do not profit in the day of wrath, but righteousness delivers from death.	riches, profit, day, wrath, righteousness, delivers, death
11	5	The righteousness of the blameless keeps his way straight but the wicked falls by his own wickedness	The righteousness of the blameless keeps his way straight, but the wicked falls by his own wickedness.	righteousness, blameless, keeps, straight, wicked, falls, wickedness
11	6	The righteousness of the upright delivers them but the treacherous are taken captive by their lust	The righteousness of the upright delivers them, but the treacherous are taken captive by their lust. 	righteousness, upright, delivers, treacherous, captive, lust
11	7	When the wicked dies his hope will perish and the expectation of wealth perishes too	When the wicked dies, his hope will perish, and the expectation of wealth perishes too.	wicked, dies, hope, perish, expectation, wealth, perishes
11	8	The righteous is delivered from trouble and the wicked walks into it instead	The righteous is delivered from trouble, and the wicked walks into it instead.	righteous, delivered, trouble, wicked, walks, perishes
11	9	With his mouth the godless man would destroy his neighbor but by knowledge the righteous are delivered	With his mouth the godless man would destroy his neighbor, but by knowledge the righteous are delivered.	mouth, godless, man, destroy, neighbor, knowledge, righteous, delivered
11	10	When it goes well with the righteous the city rejoices and when the wicked perish there are shouts of gladness	When it goes well with the righteous, the city rejoices, and when the wicked perish there are shouts of gladness.	well, righteous, city, rejoices, wicked, perish, shouts, gladness
11	11	By the blessing of the upright a city is exalted but by the mouth of the wicked it is overthrown	By the blessing of the upright a city is exalted, but by the mouth of the wicked it is overthrown.	blessing, upright, city, exalted, mouth, wicked, overthrown
