Chapter	Verse	Unformatted Text (Pure Text Only)	Formatted Text (with Punctuations)	Metawords_Keywords
1	1	The proverbs of Solomon son of David king of Israel	The proverbs of Solomon, son of David, king of Israel:	solomon, david, israel
1	2	To know wisdom and instruction to understand words of insight	To know wisdom and instruction, to understand words of insight,	wisdom, instruction, insight
1	3	to receive instruction in wise dealing in righteousness justice and equity	to receive instruction in wise dealing, in righteousness, justice, and equity;	wise dealing, righteousness, justice
1	4	to give prudence to the simple knowledge and discretion to the youth	to give prudence to the simple, knowledge and discretion to the youth—	prudence, knowledge, discretion
1	5	Let the wise hear and increase in learning and the one who understands obtain guidance	Let the wise hear and increase in learning, and the one who understands obtain guidance,	wise, learning, guidance
1	6	to understand a proverb and a saying the words of the wise and their riddles	to understand a proverb and a saying, the words of the wise and their riddles.	proverb, saying, riddles
1	7	The fear of the Lord is the beginning of knowledge fools despise wisdom and instruction	The fear of the Lord is the beginning of knowledge; fools despise wisdom and instruction.	fear, lord, knowledge
1	8	Hear my son your fathers instruction and forsake not your mothers teaching	Hear, my son, your father’s instruction, and forsake not your mother’s teaching,	hear, instruction, teaching
1	9	for they are a graceful garland for your head and pendants for your neck	for they are a graceful garland for your head and pendants for your neck.	garland, head, neck
1	10	My son if sinners entice you do not consent	My son, if sinners entice you, do not consent.	sinners, entice, consent
1	11	If they say Come with us let us lie in wait for blood let us ambush the innocent without reason	If they say, “Come with us, let us lie in wait for blood; let us ambush the innocent without reason;	ambush, innocent, blood
1	12	like Sheol let us swallow them alive and whole like those who go down to the pit	like Sheol let us swallow them alive, and whole, like those who go down to the pit;	sheol, swallow, alive
1	13	we shall find all precious goods we shall fill our houses with plunder	we shall find all precious goods, we shall fill our houses with plunder;	precious goods, houses, plunder
1	14	throw in your lot among us we will all have one purse	throw in your lot among us; we will all have one purse”—	lot, purse, walk
1	15	my son do not walk in the way with them hold back your foot from their paths	my son, do not walk in the way with them; hold back your foot from their paths,	walk, hold back, foot
1	16	for their feet run to evil and they make haste to shed blood	for their feet run to evil, and they make haste to shed blood.	feet, evil, shed blood
1	17	For in vain is a net spread in the sight of any bird	For in vain is a net spread in the sight of any bird,	net, spread, bird
1	18	but these men lie in wait for their own blood they set an ambush for their own lives	but these men lie in wait for their own blood; they set an ambush for their own lives.	ambush, blood, lives
1	19	Such are the ways of everyone who is greedy for unjust gain it takes away the life of its possessors	Such are the ways of everyone who is greedy for unjust gain; it takes away the life of its possessors.	greedy, unjust gain, life
1	20	Wisdom cries aloud in the street in the markets she raises her voice	Wisdom cries aloud in the street, in the markets she raises her voice;	wisdom, street, voice
1	21	at the head of the noisy streets she cries out at the entrance of the city gates she speaks	at the head of the noisy streets she cries out; at the entrance of the city gates she speaks:	noisy streets, cries out, city gates
1	22	How long O simple ones will you love being simple How long will scoffers delight in their scoffing and fools hate knowledge	“How long, O simple ones, will you love being simple? How long will scoffers delight in their scoffing and fools hate knowledge?	simple ones, scoffers, knowledge
1	23	If you turn at my reproof behold I will pour out my spirit to you I will make my words known to you	If you turn at my reproof, behold, I will pour out my spirit to you; I will make my words known to you.	turn, reproof, spirit
1	24	Because I have called and you refused to listen have stretched out my hand and no one has heeded	Because I have called and you refused to listen, have stretched out my hand and no one has heeded,	called, refused, listen
1	25	because you have ignored all my counsel and would have none of my reproof	because you have ignored all my counsel and would have none of my reproof,	ignored, counsel, reproof
1	26	I also will laugh at your calamity I will mock when terror strikes you	I also will laugh at your calamity; I will mock when terror strikes you,	laugh, calamity, mock
1	27	when terror strikes you like a storm and your calamity comes like a whirlwind when distress and anguish come upon you	when terror strikes you like a storm and your calamity comes like a whirlwind, when distress and anguish come upon you.	terror, storm, calamity
1	28	Then they will call upon me but I will not answer they will seek me diligently but will not find me	Then they will call upon me, but I will not answer; they will seek me diligently but will not find me.	call, answer, seek
1	29	Because they hated knowledge and did not choose the fear of the Lord	Because they hated knowledge and did not choose the fear of the Lord,	hated, knowledge, fear
1	30	would have none of my counsel and despised all my reproof	would have none of my counsel and despised all my reproof,	counsel, despised, reproof
1	31	therefore they shall eat the fruit of their way and have their fill of their own devices	therefore they shall eat the fruit of their way, and have their fill of their own devices.	eat, fruit, way
1	32	For the simple are killed by their turning away and the complacency of fools destroys them	For the simple are killed by their turning away, and the complacency of fools destroys them;	simple, turning away, complacency
1	33	but whoever listens to me will dwell secure and will be at ease without dread of disaster	but whoever listens to me will dwell secure and will be at ease, without dread of disaster.”	listen, dwell secure, ease
2	1	My son if you receive my words and treasure up my commandments with you	My son, if you receive my words and treasure up my commandments with you,	reception, treasure
2	2	making your ear attentive to wisdom and inclining your heart to understanding	making your ear attentive to wisdom and inclining your heart to understanding;	attentiveness, wisdom
2	3	yes if you call out for insight and raise your voice for understanding	yes, if you call out for insight and raise your voice for understanding,	call out, insight
2	4	if you seek it like silver and search for it as for hidden treasures	if you seek it like silver and search for it as for hidden treasures,	seek, silver
2	5	then you will understand the fear of the Lord and find the knowledge of God	then you will understand the fear of the Lord and find the knowledge of God.	understand, fear
2	6	For the Lord gives wisdom from his mouth come knowledge and understanding	For the Lord gives wisdom; from his mouth come knowledge and understanding;	Lord, wisdom
2	7	he stores up sound wisdom for the upright he is a shield to those who walk in integrity	he stores up sound wisdom for the upright; he is a shield to those who walk in integrity,	stores up, wisdom
2	8	guarding the paths of justice and watching over the way of his saints	guarding the paths of justice and watching over the way of his saints.	guarding, justice
2	9	Then you will understand righteousness and justice and equity every good path	Then you will understand righteousness and justice and equity, every good path;	understand, righteousness
2	10	for wisdom will come into your heart and knowledge will be pleasant to your soul	for wisdom will come into your heart, and knowledge will be pleasant to your soul;	wisdom, heart
2	11	discretion will watch over you understanding will guard you	discretion will watch over you, understanding will guard you,	discretion, understanding
2	12	delivering you from the way of evil from men of perverted speech	delivering you from the way of evil, from men of perverted speech,	delivering, evil
2	13	who forsake the paths of uprightness to walk in the ways of darkness	who forsake the paths of uprightness to walk in the ways of darkness,	forsake, uprightness
2	14	who rejoice in doing evil and delight in the perverseness of evil	who rejoice in doing evil and delight in the perverseness of evil,	rejoice, evil
2	15	men whose paths are crooked and who are devious in their ways	men whose paths are crooked, and who are devious in their ways.	crooked, devious
2	16	So you will be delivered from the forbidden woman from the adulteress with her smooth words	So you will be delivered from the forbidden woman, from the adulteress with her smooth words,	delivered, forbidden
2	17	who forsakes the companion of her youth and forgets the covenant of her God	who forsakes the companion of her youth and forgets the covenant of her God;	forsakes, companion
2	18	for her house sinks down to death and her paths to the departed	for her house sinks down to death, and her paths to the departed;	sinks, death
2	19	none who go to her come back nor do they regain the paths of life	none who go to her come back, nor do they regain the paths of life.	come back, life
2	20	So you will walk in the way of the good and keep to the paths of the righteous	So you will walk in the way of the good and keep to the paths of the righteous.	walk, righteous
2	21	For the upright will inhabit the land and those with integrity will remain in it	For the upright will inhabit the land, and those with integrity will remain in it,	upright, land
2	22	but the wicked will be cut off from the land and the treacherous will be rooted out of it	but the wicked will be cut off from the land, and the treacherous will be rooted out of it.	wicked, cut off
3	1	My son do not forget my teaching but let your heart keep my commandments	My son, do not forget my teaching, but let your heart keep my commandments,	forget, teaching, heart, keep, commandments
3	2	for length of days and years of life and peace they will add to you	for length of days and years of life and peace they will add to you.	life, peace
3	3	Let not steadfast love and faithfulness forsake you bind them around your neck write them on the tablet of your heart	Let not steadfast love and faithfulness forsake you; bind them around your neck; write them on the tablet of your heart.	steadfest, faithfulness, tablet, forsake
3	4	So you will find favor and good success in the sight of God and man	So you will find favor and good success in the sight of God and man.	favor, success, good
3	5	Trust in the Lord with all your heart and do not lean on your own understanding	Trust in the Lord with all your heart, and do not lean on your own understanding.	lean, understanding
3	6	In all your ways acknowledge him and he will make straight your paths	In all your ways acknowledge him, and he will make straight your paths.	acknowledge, paths
3	7	Be not wise in your own eyes fear the Lord and turn away from evil	Be not wise in your own eyes; fear the Lord, and turn away from evil.	fear, evil
3	8	It will be healing to your flesh and refreshment to your bones	It will be healing to your flesh and refreshment to your bones.	healing, refreshment
3	9	Honor the Lord with your wealth and with the firstfruits of all your produce	Honor the Lord with your wealth and with the firstfruits of all your produce;	wealth, firstfruits, produce
3	10	then your barns will be filled with plenty and your vats will be bursting with wine	then your barns will be filled with plenty, and your vats will be bursting with wine.	plenty, vats, bursting
3	11	My son do not despise the Lords discipline or be weary of his reproof	My son, do not despise the Lord’s discipline or be weary of his reproof,	despide, descipline, reproof, weary
3	12	for the Lord reproves him whom he loves as a father the son in whom he delights	for the Lord reproves him whom he loves, as a father the son in whom he delights.	reproves, loves, delights
3	13	Blessed is the one who finds wisdom and the one who gets understanding	Blessed is the one who finds wisdom, and the one who gets understanding,	blessed, wisdom, finds
3	14	for the gain from her is better than gain from silver and her profit better than gold	for the gain from her is better than gain from silver and her profit better than gold.	silver, gold, better
3	15	She is more precious than jewels and nothing you desire can compare with her	She is more precious than jewels, and nothing you desire can compare with her.	jewels, desire, precious
3	16	Long life is in her right hand in her left hand are riches and honor	Long life is in her right hand; in her left hand are riches and honor.	life, riches, honor
3	17	Her ways are ways of pleasantness and all her paths are peace	Her ways are ways of pleasantness, and all her paths are peace.	ways, pleasantness, paths, peace
3	18	She is a tree of life to those who lay hold of her those who hold her fast are called blessed	She is a tree of life to those who lay hold of her; those who hold her fast are called blessed.	hold, blessed, tree
3	19	The Lord by wisdom founded the earth by understanding he established the heavens	The Lord by wisdom founded the earth; by understanding he established the heavens;	Lord, wisdom, earth, established, heavens
