Chapter	Verse	Unformatted Text (Pure Text Only)	Formatted Text (with Punctuations)	Metawords_Keywords
21	1	The kings heart is a stream of water in the hand of the Lord he turns it wherever he will	The king’s heart is a stream of water in the hand of the Lord; he turns it wherever he will.	heart, hand
21	2	Every way of a man is right in his own eyes but the Lord weighs the heart	Every way of a man is right in his own eyes, but the Lord weighs the heart.	own, heart
21	3	To do righteousness and justice is more acceptable to the Lord than sacrifice	To do righteousness and justice is more acceptable to the Lord than sacrifice.	righteousness, justice, sacrifice
21	4	Haughty eyes and a proud heart the lamp of the wicked are sin	Haughty eyes and a proud heart, the lamp of the wicked, are sin.	proud, wicked, sin
21	5	The plans of the diligent lead surely to abundance but everyone who is hasty comes only to poverty	The plans of the diligent lead surely to abundance, but everyone who is hasty comes only to poverty.	diligent, abundance, poverty
21	6	The getting of treasures by a lying tongue is a fleeting vapor and a snare of death	The getting of treasures by a lying tongue is a fleeting vapor and a snare of death.	treasures, lying, death
21	7	The violence of the wicked will sweep them away because they refuse to do what is just	The violence of the wicked will sweep them away, because they refuse to do what is just.	violence, wicked
21	8	The way of the guilty is crooked but the conduct of the pure is upright	The way of the guilty is crooked, but the conduct of the pure is upright.	guilty, upright, 
21	9	It is better to live in a corner of the housetop than in a house shared with a quarrelsome wife	It is better to live in a corner of the housetop than in a house shared with a quarrelsome wife.	quarrelsome
21	10	The soul of the wicked desires evil his neighbor finds no mercy in his eyes	The soul of the wicked desires evil; his neighbor finds no mercy in his eyes.	soul, desire, mercy
21	11	When a scoffer is punished the simple becomes wise when a wise man is instructed he gains knowledge	When a scoffer is punished, the simple becomes wise; when a wise man is instructed, he gains knowledge.	punished, wise, knowledge
21	12	The Righteous One observes the house of the wicked he throws the wicked down to ruin	The Righteous One observes the house of the wicked; he throws the wicked down to ruin.	righteous, wicked, ruin
21	13	Whoever closes his ear to the cry of the poor will himself call out and not be answered	Whoever closes his ear to the cry of the poor will himself call out and not be answered.	poor, answered
21	14	A gift in secret averts anger and a concealed bribe strong wrath	A gift in secret averts anger, and a concealed bribe, strong wrath.	anger, bribe, wrath
21	15	When justice is done it is a joy to the righteous but terror to evildoers	When justice is done, it is a joy to the righteous but terror to evildoers.	justice, righteous, evildoers
21	16	One who wanders from the way of good sense will rest in the assembly of the dead	One who wanders from the way of good sense will rest in the assembly of the dead.	wanders, dead
21	17	Whoever loves pleasure will be a poor man he who loves wine and oil will not be rich	Whoever loves pleasure will be a poor man; he who loves wine and oil will not be rich.	 pleasure, poor, rich
21	18	The wicked is a ransom for the righteous and the traitor for the upright	The wicked is a ransom for the righteous, and the traitor for the upright.	wicked, righteous, traitor
